batting_team,over,fours
Rajasthan Royals,18,77
Rajasthan Royals,19,57
Rajasthan Royals,20,69
Rising Pune Supergiant,1,10
Rising Pune Supergiant,2,13
Rising Pune Supergiant,3,20
Rising Pune Supergiant,4,14
Rising Pune Supergiant,5,15
Rising Pune Supergiant,6,18
Rising Pune Supergiant,7,3
Rising Pune Supergiant,8,8
Rising Pune Supergiant,9,5
Rising Pune Supergiant,10,6
Rising Pune Supergiant,11,6
Rising Pune Supergiant,12,14
Rising Pune Supergiant,13,6
Rising Pune Supergiant,14,10
Rising Pune Supergiant,15,6
Rising Pune Supergiant,16,9
Rising Pune Supergiant,17,10
Rising Pune Supergiant,18,6
Rising Pune Supergiant,19,10
Rising Pune Supergiant,20,11
Rising Pune Supergiants,1,11
Rising Pune Supergiants,2,13
Rising Pune Supergiants,3,16
Rising Pune Supergiants,4,17
Rising Pune Supergiants,5,9
Rising Pune Supergiants,6,19
Rising Pune Supergiants,7,7
Rising Pune Supergiants,8,9
Rising Pune Supergiants,9,10
Rising Pune Supergiants,10,4
Rising Pune Supergiants,11,7
Rising Pune Supergiants,12,6
Rising Pune Supergiants,13,9
Rising Pune Supergiants,14,2
Rising Pune Supergiants,15,3
Rising Pune Supergiants,16,3
Rising Pune Supergiants,17,8
Rising Pune Supergiants,18,7
Rising Pune Supergiants,19,5
Rising Pune Supergiants,20,8
Royal Challengers Bangalore,1,108
Royal Challengers Bangalore,2,125
Royal Challengers Bangalore,3,150
Royal Challengers Bangalore,4,142
Royal Challengers Bangalore,5,137
Royal Challengers Bangalore,6,139
Royal Challengers Bangalore,7,67
Royal Challengers Bangalore,8,84
Royal Challengers Bangalore,9,83
Royal Challengers Bangalore,10,75
Royal Challengers Bangalore,11,86
Royal Challengers Bangalore,12,69
Royal Challengers Bangalore,13,70
Royal Challengers Bangalore,14,93
Royal Challengers Bangalore,15,92
Royal Challengers Bangalore,16,89
Royal Challengers Bangalore,17,99
Royal Challengers Bangalore,18,110
Royal Challengers Bangalore,19,104
Royal Challengers Bangalore,20,85
Sunrisers Hyderabad,1,63
Sunrisers Hyderabad,2,66
Sunrisers Hyderabad,3,64
Sunrisers Hyderabad,4,80
Sunrisers Hyderabad,5,83
Sunrisers Hyderabad,6,84
Sunrisers Hyderabad,7,36
Sunrisers Hyderabad,8,25
Sunrisers Hyderabad,9,39
Sunrisers Hyderabad,10,43
Sunrisers Hyderabad,11,33
Sunrisers Hyderabad,12,44
Sunrisers Hyderabad,13,31
Sunrisers Hyderabad,14,42
Sunrisers Hyderabad,15,49
Sunrisers Hyderabad,16,45
Sunrisers Hyderabad,17,43
Sunrisers Hyderabad,18,42
Sunrisers Hyderabad,19,52
Sunrisers Hyderabad,20,44
