,team1,team2,toss_winner,toss_decision,winner
485,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab
486,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad
487,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab
488,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
489,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
490,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
491,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Rajasthan Royals
492,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians
493,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings
494,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore
495,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
496,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
497,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals
498,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore
499,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders
500,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians
501,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
502,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad
503,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
504,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
505,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders
506,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
507,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
508,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab
509,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
510,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
511,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
512,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
513,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders
514,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
515,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab
516,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
