,team1,team2,toss_winner,toss_decision,winner
457,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders
458,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
459,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kings XI Punjab
460,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
461,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
462,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils
463,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
464,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings
465,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab
466,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings
467,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders
468,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
469,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings
470,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
471,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab
472,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils
473,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings
474,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
475,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals
476,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad
477,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings
478,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians
479,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
480,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
481,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals
482,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
483,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians
484,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders
