,team1,team2,toss_winner,toss_decision,winner
59,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders
60,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings
61,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils
62,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore
63,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,Kolkata Knight Riders
64,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Rajasthan Royals
65,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils
66,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings
67,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
68,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab
69,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
70,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings
71,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
72,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab
73,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings
74,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians
75,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils
76,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
77,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals
78,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils
79,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore
80,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab
81,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
82,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals
83,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
84,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
85,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
86,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
87,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders
88,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
89,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
90,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings
91,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders
92,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
93,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab
94,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders
95,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
96,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab
97,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils
98,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
99,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab
100,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals
101,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians
102,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings
103,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
104,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
105,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab
106,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
107,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
108,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
109,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals
110,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore
111,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders
112,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
113,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings
114,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals
115,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings
116,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
