,team1,team2,toss_winner,toss_decision,winner
39,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant
40,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
41,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab
42,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rising Pune Supergiant
43,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
44,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
45,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions
46,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad
47,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab
48,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
49,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab
50,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Delhi Daredevils
51,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
52,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians
53,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant
54,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
55,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiant
56,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
57,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
58,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Mumbai Indians
