,team1,team2,toss_winner,toss_decision,winner
576,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Rising Pune Supergiants
577,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
578,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions
579,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore
580,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
581,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,bat,Gujarat Lions
582,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
583,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders
584,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions
585,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,bat,Kings XI Punjab
586,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
587,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
588,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
589,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
590,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
591,Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,field,Royal Challengers Bangalore
592,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils
593,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
594,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,bat,Gujarat Lions
595,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
596,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians
597,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants
598,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Gujarat Lions
599,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
