,team1,team2,toss_winner,toss_decision,winner
406,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
407,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils
408,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
409,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings
410,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore
411,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab
412,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians
413,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings
414,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders
415,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals
416,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians
417,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings
418,Delhi Daredevils,Pune Warriors,Pune Warriors,field,Delhi Daredevils
419,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
420,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians
421,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Chennai Super Kings
422,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad
423,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils
424,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings
425,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
426,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders
427,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad
428,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
429,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians
430,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals
431,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore
432,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals
433,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians
434,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings
435,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
436,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders
437,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore
438,Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians
439,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad
440,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
441,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
442,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
443,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians
444,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Pune Warriors
445,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings
446,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians
447,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
448,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
449,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab
450,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Pune Warriors
451,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore
452,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad
453,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings
454,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals
455,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians
456,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians
