,team1,team2,toss_winner,toss_decision,winner
381,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
382,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore
383,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad
384,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals
385,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians
386,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Kings XI Punjab
387,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad
388,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals
389,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians
390,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
391,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
392,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Pune Warriors
393,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad
394,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians
395,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
396,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders
397,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
398,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Pune Warriors
399,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab
400,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
401,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad
402,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals
403,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings
404,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad
405,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings
