,team1,team2,toss_winner,toss_decision,winner
517,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
518,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings
519,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals
520,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings
521,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
522,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
523,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab
524,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
525,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals
526,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
527,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils
528,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
529,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings
530,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Delhi Daredevils
531,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
532,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals
533,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians
534,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
535,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
536,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad
537,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings
538,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils
539,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
540,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians
541,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings
542,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
543,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad
544,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders
545,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,
546,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings
547,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
548,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians
549,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
550,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad
551,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians
552,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals
553,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings
554,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders
555,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians
556,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore
557,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad
558,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians
559,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders
560,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
561,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
562,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings
563,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
564,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils
565,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab
566,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians
567,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore
568,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings
569,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals
570,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,
571,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians
572,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians
573,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
574,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
575,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians
