,team1,team2,toss_winner,toss_decision,winner
174,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders
175,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians
176,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
177,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
178,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Deccan Chargers
179,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
180,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore
181,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings
182,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
183,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
184,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings
185,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers
186,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals
187,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore
188,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers
189,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab
190,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians
191,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore
192,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals
193,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
194,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals
195,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders
196,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils
197,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals
198,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians
199,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Delhi Daredevils
200,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
201,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings
202,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils
203,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders
204,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore
205,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings
206,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Mumbai Indians
207,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab
208,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Delhi Daredevils
209,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,Rajasthan Royals
210,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings
211,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Rajasthan Royals
212,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders
213,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
214,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab
215,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Deccan Chargers
216,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
217,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab
218,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians
219,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers
220,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians
221,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings
222,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore
223,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils
224,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
225,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians
226,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders
227,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
228,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers
229,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders
230,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians
231,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings
232,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore
233,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings
