,team1,team2,toss_winner,toss_decision,winner
307,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
308,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
309,Pune Warriors,Mumbai Indians,Mumbai Indians,field,Pune Warriors
310,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals
311,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore
312,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Chennai Super Kings
313,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals
314,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Pune Warriors
315,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Mumbai Indians
316,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders
317,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
318,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians
319,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings
320,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
321,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders
322,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils
323,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Pune Warriors
324,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab
325,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals
326,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
327,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals
328,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,Royal Challengers Bangalore
329,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders
330,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils
331,Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings
332,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
333,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings
334,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Pune Warriors
