,team1,team2,toss_winner,toss_decision,winner
335,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab
336,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
337,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore
338,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Delhi Daredevils
339,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians
340,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers
341,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils
342,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Kings XI Punjab
343,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders
344,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils
345,Deccan Chargers,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
346,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders
347,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers
348,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils
349,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
350,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians
351,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings
352,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders
353,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals
354,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
355,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
356,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders
357,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals
358,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Kings XI Punjab
359,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
360,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
361,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore
362,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians
363,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
364,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Rajasthan Royals
365,Deccan Chargers,Kings XI Punjab,Deccan Chargers,bat,Kings XI Punjab
366,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
367,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
368,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils
369,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders
370,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
371,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore
372,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,Deccan Chargers
373,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
374,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders
375,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers
376,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians
377,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders
378,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings
379,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings
380,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders
